ID,Type,Recovery,SacTime,Sodium,Potassium,tCO2,CK,Glucose,CA,BUN,AST,TBIL,ALB,TP,GLOB,WBC,AbsLYM,AbsMON,AbsNEU,LYp,MOp,NEp,RBC,HGB,HCT,MCV,MCH,MCHC,RDWc,PLT,PCT,MPV,PDWc
m190120,EHS,hit1,d1,148,6.3,26,687,231,9.7,17,290,0.5,4,4.6,0.7,7.33,5.62,0.06,1.65,76.6,0.8,22.6,9.83,13.6,40.67,41,13.8,33.4,16.9,459,0.26,5.7,30.7
m190140,EHS,hit1,d1,.,.,.,.,.,.,.,.,.,.,.,.,14.2,10.93,1.89,1.38,77,13.3,9.7,9.25,13,38.44,42,14.1,33.9,16.6,282,0.17,5.9,31.7
m190152,EHS,hit1,d1,148,5.8,28,209,240,9.5,19,142,0.5,4,4.8,0.8,10.26,9.04,1.12,0.1,88.1,10.9,1,9.34,13.1,38.86,42,14,33.7,16.6,502,0.32,6.3,30.2
m190217,EHS,hit1,d1,144,6,24,131,269,9.1,19,69,0.7,3.1,4.2,1.1,12.76,10.83,0.04,1.88,84.9,0.3,14.8,8.5,11.8,35.97,42,13.8,32.7,17.7,281,0.2,7,33.8
m190229,EHS,hit1,d1,143,4.5,17,176,234,8.9,26,76,0.3,3.1,4.4,1.3,5.79,4.88,0.26,0.65,84.3,4.5,11.2,8.12,13.1,33.8,42,16.2,38.8,17.2,492,0.27,5.4,28.5
m190241,EHS,hit1,d1,149,5.5,25,493,214,9.7,18,231,0.5,3.6,4.9,1.3,14.29,10.9,1.09,2.31,76.3,7.6,16.1,9.31,13.2,38.45,41,14.2,34.3,16.9,235,0.15,6.4,36.6
m190063,EHS,hit1,d7,147,5.5,23,207,197,9.9,21,62,0.5,3.7,4.7,1,6.51,5.16,0.35,1,79.3,5.4,15.3,9.23,13.2,37.89,41,14.3,34.9,17.2,823,0.46,5.6,28.5
m190076,EHS,hit1,d7,148,5.8,26,262,184,9.7,21,68,0.5,3.7,4.8,1.1,5.68,4.54,0.07,1.07,79.9,1.3,18.8,9.52,13.1,40.61,43,13.8,32.3,16.8,802,0.44,5.5,29.1
m190089,EHS,hit1,d7,147,5.3,23,346,212,9.5,23,88,0.4,3.7,4.8,1.2,7.21,5.88,0.33,1,81.5,4.5,13.9,9.24,13.6,37.92,41,14.7,35.7,16.6,892,0.54,6,29.1
m190127,EHS,hit1,d7,150,5,21,337,170,9.9,29,87,0.4,3.9,5,1.1,7.58,5.96,0.21,1.41,78.7,2.7,18.6,9.66,13.1,40.06,41,13.5,32.6,16.9,653,0.36,5.5,29.6
m190199,EHS,hit1,d7,149,5.3,22,195,184,10,24,64,0.4,3.8,5.1,1.3,5.53,3.98,0.37,1.18,71.9,6.7,21.4,9.88,15.3,41.64,42,15.5,36.7,17.5,851,0.5,5.8,29.1
m190204,EHS,hit1,d7,146,4.8,26,196,209,9.6,26,64,0.4,3.7,5,1.3,12.27,9.08,1.19,1.99,74,9.7,16.2,9.31,13,38.35,41,13.9,33.8,17.2,644,0.39,6.1,32.2
m200001,EHS,hit1,d7,148,5,22,342,258,9.5,24,86,0.4,3.4,4.7,1.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200013,EHS,hit1,d7,154,5.6,27,372,220,9.9,28,64,0.4,3.5,5,1.5,6.52,4.42,0.04,2.07,67.7,0.6,31.7,9.44,13.6,39.09,41,14.4,34.8,17.2,578,0.34,5.9,30.2
m200036,EHS,hit1,d7,149,5.2,23,138,189,8.9,22,61,0.5,3,4.5,1.5,5.82,4.16,0.2,1.46,71.5,3.5,25.1,8.64,12.4,35.6,41,14.3,34.8,17.8,646,0.37,5.7,29.6
m190033,EHS,hit2rec1,min30,.,.,.,.,.,.,.,.,.,.,.,.,0.79,0.39,0.02,0.38,49.6,3.1,47.2,9.8,14.3,42,43,14.6,34.1,17.7,377,0.22,5.9,31.7
m190034,EHS,hit2rec1,min30,160,5.4,15,1150,107,10.6,62,1601,0.4,5.1,6.4,1.4,1.19,0.5,0.12,0.57,42.3,9.9,47.8,11.35,15.9,47.26,42,14,33.7,17.5,606,0.34,5.6,30.2
m190037,EHS,hit2rec1,min30,152,7.5,15,3393,209,9.9,54,1908,0.4,4.2,5.5,1.2,4.44,2.71,0.38,1.36,60.9,8.5,30.6,10.11,14.6,41.87,41,14.4,34.8,16.8,269,0.16,5.8,33.8
m190038,EHS,hit2rec1,min30,154,5.4,18,1618,136,10.1,51,911,0.4,4.5,5.6,1.1,0.76,0.54,0.03,0.19,70.5,4,25.5,10.6,14.7,45.6,43,13.9,32.3,17.4,510,0.29,5.6,29.6
m190090,EHS,hit2rec1,min30,153,4.5,17,394,114,10.3,63,443,0.4,4.7,5.9,1.2,1.02,0.6,0.07,0.35,59.1,6.8,34.1,10.29,15.3,42.18,41,14.9,36.4,16.9,597,0.34,5.7,29.6
m190128,EHS,hit2rec1,min30,156,4.9,19,1651,118,10.3,42,795,0.3,4.2,5.6,1.4,1.43,0.44,0.16,0.83,30.7,11.4,57.9,10.9,15.1,44.96,41,13.8,33.5,17.5,497,0.28,5.6,29.1
m190129,EHS,hit2rec1,min30,153,5.4,17,435,144,9.6,37,304,0.5,4.2,5.5,1.2,1.05,0.61,0.07,0.37,58.2,6.4,35.4,9.95,14,42.23,42,14,33.1,17.4,503,0.31,6.2,29.1
m200014,EHS,hit2rec1,min30,156,4.8,20,1011,232,10.4,51,769,0.4,4.2,5.5,1.3,2.43,1.47,0.13,0.83,60.5,5.5,34,10.38,14.4,42.02,40,13.9,34.3,17.2,542,0.36,6.6,30.2
m200026,EHS,hit2rec1,min30,155,4.2,15,333,86,10.6,56,1196,0.5,4.5,6.1,1.6,1.08,0.56,0.12,0.4,51.7,11.2,37.1,11.3,15.4,45.97,41,13.7,33.6,17.5,518,0.29,5.6,29.6
m190065,EHS,hit2rec1,hr3,151,6.3,12,2392,275,8.9,28,731,0.5,4,5.1,1.1,0.7,0.31,0.08,0.31,44,11.9,44.1,9.64,13.8,41.53,43,14.4,33.3,17.4,507,0.3,5.9,29.1
m190078,EHS,hit2rec1,hr3,154,6,17,2587,162,10.4,37,798,0.1,4.3,5.6,1.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190097,EHS,hit2rec1,hr3,151,8,13,5070,132,9.2,37,1120,0.2,4.2,5.3,1.1,0.96,0.45,0.08,0.42,47.1,8.9,44,9.38,14,38.69,41,14.9,36.2,16.3,536,0.3,5.5,29.1
m190108,EHS,hit2rec1,hr3,148,5,13,1577,190,9.3,35,1113,0.3,3.9,5.1,1.2,0.7,0.3,0.07,0.33,42.4,10,47.6,9.71,14.2,41.69,43,14.6,34.1,17.1,491,0.27,5.5,28.5
m190121,EHS,hit2rec1,hr3,157,5.5,20,405,155,10.1,33,554,0.2,4.1,5.2,1.1,3.77,2.35,0.21,1.21,62.4,5.5,32.2,8.76,13.2,38.04,43,15.1,34.8,16.8,237,0.16,6.9,32.6
m190130,EHS,hit2rec1,hr3,148,5.1,15,1429,143,9,24,795,0.4,3.6,4.6,1,1.44,0.91,0.13,0.39,63.5,9.3,27.2,9.52,13.2,41.18,43,13.9,32.2,17.4,347,0.2,5.7,29.6
m200002,EHS,hit2rec1,hr3,150,5.7,20,2248,187,8.7,24,566,0.5,3.7,5.1,1.3,1.84,0.69,0,1.14,37.8,0,62.2,9.73,14.3,41.84,43,14.7,34.2,18,386,0.22,5.8,31.7
m200027,EHS,hit2rec1,hr3,151,5.6,14,2338,180,9.3,32,1734,0.3,3.8,5.2,1.4,0.95,0.44,0.03,0.47,46.6,3.6,49.9,9.52,14.4,39.31,41,15.2,36.7,16.3,489,0.27,5.5,28.5
m200038,EHS,hit2rec1,hr3,154,5.7,18,1349,133,9.9,41,809,0.2,4,5.5,1.5,1.56,1.08,0.09,0.38,69.7,5.7,24.6,9.11,13.1,37.42,41,14.4,35.1,16.3,352,0.22,6.1,31.7
m190013,EHS,hit2rec1,d1,147,5.6,25,325,259,9.8,20,88,0.4,3.7,4.4,0.7,8.16,7.3,0.08,0.78,89.4,1,9.6,8.42,12,36.15,43,14.3,33.3,16.8,355,0.22,6.2,31.2
m190064,EHS,hit2rec1,d1,146,6,17,475,246,9.1,22,124,0.5,3.4,4.3,0.8,8.83,7.01,1.08,0.75,79.4,12.2,8.4,8.57,12.2,35.37,41,14.3,34.6,16,231,0.14,5.9,32.6
m190077,EHS,hit2rec1,d1,143,5.9,15,562,241,9.5,27,128,0.4,3.7,4.5,0.9,2.19,1.6,0.2,0.39,73.1,9,17.9,8.86,11.9,36.78,41,13.4,32.3,16.9,490,0.27,5.6,29.1
m190107,EHS,hit2rec1,d1,145,7.1,20,380,248,9.6,26,106,0.3,3.7,4.6,0.8,6.04,5.32,0.18,0.54,88.1,3,8.9,7.22,12.8,30.45,42,17.7,42,16.6,340,0.2,6,29.1
m190109,EHS,hit2rec1,d1,149,5.7,24,179,234,9.1,20,79,0.4,3.5,4.4,0.9,6.38,5.18,0.22,0.98,81.2,3.4,15.4,9.18,12,38.03,41,13.1,31.6,16.9,399,0.23,5.9,31.2
m190122,EHS,hit2rec1,d1,147,5.4,24,242,240,9.2,25,95,0.3,3.6,4.4,0.8,6.73,4.31,0.42,2,64,6.2,29.7,8.85,12.3,37.36,42,13.9,32.8,16.6,556,0.31,5.5,29.6
m200037,EHS,hit2rec1,d1,147,5.6,26,138,215,9.3,13,74,0.6,3.3,4.5,1.2,6.62,5.38,0.2,1.03,81.4,3.1,15.6,9.28,13.2,37.59,41,14.3,35.2,16.9,521,0.29,5.6,29.1
m200043,EHS,hit2rec1,d1,148,7.1,23,511,257,9.7,23,141,0.3,3.6,4.4,0.8,6.82,5.94,0.31,0.58,87.1,4.5,8.5,7.62,10.3,31.39,41,13.5,32.8,16.3,223,0.13,5.8,29.1
m200046,EHS,hit2rec1,d1,148,5.8,24,346,235,9.4,21,151,0.4,3.4,4.5,1.1,10.24,8.47,0.1,1.67,82.7,1,16.3,8.29,12.6,34.44,42,15.2,36.6,17.2,198,0.12,6,35.6
m190014,EHS,hit2rec1,d7,149,6,28,162,192,9.5,25,47,0.5,3.7,4.8,1.1,7.17,5.31,0.04,1.82,74.1,0.6,25.3,8.88,14.1,36.74,41,15.8,38.3,17.5,833,0.47,5.6,28.5
m190024,EHS,hit2rec1,d7,145,4.8,23,380,186,9.6,19,105,0.7,3.3,4.6,1.4,10.3,7.54,0.42,2.33,73.2,4.1,22.6,9.67,13.4,40.56,42,13.8,33,18,651,0.37,5.7,31.2
m190066,EHS,hit2rec1,d7,149,6,25,555,261,9.2,26,126,0.5,3.9,4.8,0.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190079,EHS,hit2rec1,d7,147,.,22,2079,235,9.8,26,356,0.5,3.9,4.9,0.9,14.81,10.25,0.09,4.46,69.2,0.6,30.2,7.64,11.3,31.25,41,14.8,36.2,17.2,246,0.15,5.9,33.8
m190110,EHS,hit2rec1,d7,147,6,24,532,201,10,25,130,0.6,4,5,0.9,16.56,12.61,1.25,2.7,76.1,7.6,16.3,9.82,13.2,40.73,41,13.5,32.4,16.9,593,0.39,6.6,29.6
m190123,EHS,hit2rec1,d7,149,5.4,20,154,249,9.4,29,60,0.5,3.8,4.8,1.1,7.15,4.81,0.22,2.12,67.3,3.1,29.6,9.41,13.5,39.58,42,14.3,34,17.5,810,0.49,6.1,29.1
m190218,EHS,hit2rec1,d7,150,6.1,23,366,192,9.9,30,99,0.5,3.5,4.8,1.3,9.37,6.24,0.36,2.77,66.6,3.8,29.6,8.63,13.4,36.5,42,15.6,36.8,16.8,599,0.36,6.1,30.2
m190230,EHS,hit2rec1,d7,149,5.6,21,243,224,9.5,23,66,0.5,3.7,4.9,1.2,7.86,5.73,0.1,2.02,73,1.3,25.7,9.41,13.6,38.34,41,14.5,35.5,17.2,713,0.42,5.9,30.2
m200047,EHS,hit2rec1,d7,151,5.2,26,147,189,9.5,23,45,0.4,3.3,4.8,1.5,6.31,5,0.29,1.01,79.4,4.6,16.1,9.61,12.8,39.79,41,13.3,32.1,16.9,924,0.5,5.4,28.5
m190141,EHS,hit2rec3,min30,165,5.4,17,540,104,11.4,86,349,0.4,5.4,7.2,1.8,1.69,1.2,0.04,0.44,71.3,2.6,26.1,11.05,17,45.73,41,15.4,37.1,17.5,781,0.49,6.3,29.6
m190153,EHS,hit2rec3,min30,156,4.4,13,484,77,11,63,428,0.4,5,6.5,1.6,1.73,1.33,0.13,0.27,77.2,7.4,15.4,11.64,16.8,47.74,41,14.4,35.2,17.5,684,0.38,5.6,30.2
m190166,EHS,hit2rec3,min30,161,4.2,18,313,91,10.9,74,211,0.4,5.5,7.1,1.6,0.76,0.64,0.03,0.09,84.1,3.4,12.4,11.13,16.6,45.09,41,14.9,36.8,17.5,795,0.51,6.4,30.2
m190177,EHS,hit2rec3,min30,159,4.8,11,530,106,11.5,77,894,0.4,5.3,6.8,1.5,2.4,1.26,0.22,0.92,52.6,9.2,38.2,11.37,15.9,46.23,41,14,34.3,18.1,544,0.32,5.8,32.2
m190201,EHS,hit2rec3,min30,159,4.1,13,655,104,11,86,398,0.3,4.6,6.5,1.9,1.59,1.34,0.07,0.17,84.5,4.5,11,10.73,16.9,43.28,40,15.7,39,17.2,730,0.42,5.7,29.6
m190202,EHS,hit2rec3,min30,161,3.8,14,707,114,11.7,84,477,0.4,5,6.8,1.8,0.47,0.3,0.02,0.15,63.6,4.5,31.9,11.72,17,48.27,41,14.5,35.1,17.5,633,0.36,5.7,31.2
m200040,EHS,hit2rec3,min30,160,4.9,17,1078,100,11.1,70,372,0.4,4.9,6.7,1.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200049,EHS,hit2rec3,min30,160,4.6,20,413,133,10.9,72,225,0.3,4.9,6.5,1.5,2.57,2.02,0.18,0.37,78.7,7.1,14.3,11.53,16.4,46.91,41,14.2,34.9,17.8,662,0.37,5.7,30.2
m200052,EHS,hit2rec3,min30,158,3.6,18,1186,94,11.5,61,957,0.4,5.1,6.7,1.7,2.98,1.71,0.37,0.9,57.3,12.6,30.1,11.19,15.8,45.35,41,14.1,34.8,17.9,331,0.2,6,35.6
m190142,EHS,hit2rec3,hr3,155,5.1,14,1117,206,11.4,54,497,0.3,4.5,6,1.5,7.11,3.78,0.05,3.28,53.2,0.7,46.1,10.72,15.9,44.03,41,14.8,36.1,17.8,254,0.16,6.4,36.6
m190154,EHS,hit2rec3,hr3,152,5.3,15,753,246,9.7,44,305,0.2,4.2,5.5,1.3,7.51,4.09,0.67,2.75,54.4,8.9,36.7,9.73,14.3,41.9,43,14.7,34.2,17.7,250,0.15,6.1,35.6
m190165,EHS,hit2rec3,hr3,154,5.1,14,376,189,10.3,40,392,0.3,4.6,5.7,1.2,0.49,0.08,0.04,0.36,17.2,8.8,74.1,9.31,15.9,37.85,41,17.1,42.1,17.2,459,0.26,5.6,29.1
m190188,EHS,hit2rec3,hr3,155,4.6,14,322,224,10.6,40,179,0.3,4.3,5.9,1.6,0.79,0.17,0.06,0.56,21.1,7.6,71.3,10.57,16.1,43.34,41,15.2,37.1,18.1,565,0.32,5.6,29.6
m190189,EHS,hit2rec3,hr3,155,6.6,16,718,207,10.4,54,1095,0.4,4.6,6.2,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190206,EHS,hit2rec3,hr3,157,5.6,14,715,215,10.4,50,361,0.3,4.2,5.6,1.4,1.27,0.55,0.06,0.66,43.4,4.4,52.2,10.28,16.3,43.54,42,15.9,37.5,16.6,547,0.31,5.6,29.6
m190244,EHS,hit2rec3,hr3,153,5,10,351,167,10.5,42,257,0.1,4,5.6,1.6,2.34,1.33,0.02,1,56.7,0.7,42.6,9.96,14.5,41.08,41,14.6,35.4,17.5,503,0.36,7.1,35
m200039,EHS,hit2rec3,hr3,154,6.2,18,687,243,10.2,40,371,0.2,4.4,5.9,1.5,5.38,3,0.58,1.8,55.8,10.7,33.4,12.39,13.4,51.56,42,10.8,26,17.8,274,0.15,5.6,32.2
m200048,EHS,hit2rec3,hr3,154,5.2,17,806,214,9.8,62,1381,0.4,4.4,6,1.6,8.59,4.66,1.04,2.89,54.3,12.1,33.7,11.06,15.4,45.98,42,13.9,33.5,17.2,124,0.07,5.4,30.7
m190046,EHS,hit2rec3,d1,144,5.6,22,242,266,8.5,15,76,0.6,3.5,4.4,0.9,6.34,5.56,0.24,0.55,87.7,3.7,8.6,8.81,12.5,37.24,42,14.2,33.5,16.6,606,0.37,6.1,29.6
m190056,EHS,hit2rec3,d1,145,6.2,20,335,248,9,16,86,0.6,3.4,4.3,0.9,7.15,6.39,0.31,0.45,89.4,4.4,6.3,9.07,12.7,38.16,42,14,33.3,17.2,522,0.34,6.6,31.2
m190057,EHS,hit2rec3,d1,145,5.3,20,163,252,8.5,20,54,0.4,3.7,4.4,0.8,10.6,9.17,0.5,0.93,86.5,4.7,8.8,9.31,12.6,38.68,42,13.5,32.6,17.5,344,0.21,6.1,34.2
m190164,EHS,hit2rec3,d1,143,5.8,21,196,194,9.4,16,88,0.7,3.2,4.1,0.8,5.72,4.37,0.28,1.08,76.4,4.8,18.8,8.35,11.9,36.45,44,14.3,32.7,17.9,427,0.24,5.7,29.1
m190176,EHS,hit2rec3,d1,147,6.3,19,296,254,9.3,16,97,0.5,3.4,4.5,1.1,14.77,11.49,0.89,2.39,77.8,6,16.2,9.48,13.1,38.75,41,13.8,33.8,16.9,243,0.15,6.3,35.6
m190203,EHS,hit2rec3,d1,144,6.2,19,145,225,9,17,89,0.5,3.6,4.6,1.1,4.71,3.82,0.65,0.24,81.1,13.7,5.2,9.59,13.1,39.76,41,13.6,32.8,17.5,488,0.29,5.9,31.2
m190219,EHS,hit2rec3,d1,148,5.5,20,179,237,8.9,21,97,0.5,3.6,4.7,1.2,7.96,6.17,0.91,0.87,77.6,11.4,11,8.85,12.7,36.24,41,14.4,35.1,17.2,328,0.21,6.4,34.2
m190231,EHS,hit2rec3,d1,146,5.6,24,418,217,9.1,15,113,0.5,3.8,4.8,1,8.8,6.89,0.14,1.77,78.2,1.6,20.2,9.21,13.4,39.23,43,14.5,34.1,17.1,300,0.18,6,32.6
m190243,EHS,hit2rec3,d1,148,5.7,19,150,232,9.5,18,79,0.4,3.4,4.6,1.2,8.49,6.64,0.35,1.51,78.2,4.1,17.7,8.9,12.7,36.9,41,14.2,34.4,16.8,559,0.32,5.7,30.2
m200053,EHS,hit2rec3,d7,153,5.5,27,221,209,9.8,21,69,0.5,3.6,4.9,1.3,15.82,12.52,0.1,3.2,79.1,0.6,20.2,10.07,13.7,42.03,42,13.6,32.6,17.2,430,0.27,6.3,36.6
m200054,EHS,hit2rec3,d7,149,5,24,384,190,10,20,95,0.5,3.2,4.6,1.3,15.02,12.24,1.17,1.62,81.4,7.8,10.8,8.24,12.4,34.77,42,15.1,35.8,17.7,365,0.22,6.2,31.7
m200055,EHS,hit2rec3,d7,150,5.1,30,285,218,9.6,25,80,0.5,3.7,4.7,1,6.43,5.12,0.31,1.01,79.5,4.8,15.7,9.11,13.1,37.63,41,14.4,34.8,18.1,764,0.46,6,29.1
m200056,EHS,hit2rec3,d7,149,5.1,21,133,217,9.5,26,53,0.4,3.5,4.7,1.2,6.97,5.38,0.22,1.37,77.2,3.1,19.7,9.09,13.6,36.88,41,15,37,17.2,657,0.37,5.7,29.6
m200057,EHS,hit2rec3,d7,150,5.1,28,439,180,9.8,28,109,0.3,3.2,4.8,1.6,14.5,9.38,1.46,3.66,64.7,10.1,25.2,8.77,12.5,35.89,41,14.3,34.9,17.8,267,0.17,6.2,36.6
m200058,EHS,hit2rec3,d7,148,4.7,20,209,225,9.5,27,61,0.4,3.1,4.6,1.6,7.29,5.69,0.15,1.45,78,2.1,19.9,8.37,12.6,34.08,41,15,36.9,17.2,755,0.42,5.6,28.5
m190143,EHS,hit2rec7,min30,161,4.8,14,445,88,11,57,205,0.4,4.8,6.4,1.6,1.79,1.21,0.13,0.44,67.9,7.3,24.8,10.93,16.2,44.92,41,14.9,36.1,17.5,922,0.52,5.7,29.6
m190155,EHS,hit2rec7,min30,160,4.5,16,391,79,10.6,76,1532,0.4,5.1,6.8,1.7,0.73,0.5,0.08,0.15,69,10.4,20.6,11.18,16.2,44.91,40,14.5,36.1,16.9,970,0.52,5.4,28.5
m190168,EHS,hit2rec7,min30,160,4.3,17,436,106,11.1,69,523,0.3,5,6.8,1.9,1.02,0.8,0.06,0.16,78.2,5.9,15.9,10.88,16.2,45.01,41,14.9,36.1,18.4,840,0.46,5.5,30.2
m190180,EHS,hit2rec7,min30,159,4.1,13,577,120,11,91,339,0.4,5.3,6.8,1.5,0.93,0.65,0.11,0.17,70.4,11.3,18.3,11.41,16.7,46.37,41,14.6,36,17.2,997,0.55,5.5,29.1
m190191,EHS,hit2rec7,min30,159,3.8,14,424,93,10.9,87,2000,0.4,5.1,6.9,1.9,0.63,0.32,0.04,0.27,51.7,5.7,42.6,11.59,17.6,46.72,40,15.2,37.7,17.5,977,0.52,5.4,28.5
m190192,EHS,hit2rec7,min30,161,3.6,13,361,98,11.2,65,363,0.3,4.7,6.6,1.9,0.71,0.59,0.05,0.07,83,7.5,9.6,10.74,16,43.44,40,14.9,36.9,17.2,906,0.51,5.7,29.6
m200003,EHS,hit2rec7,min30,164,4.9,14,491,70,10.7,79,443,0.4,4.9,7.3,2.3,1.58,1.13,0.09,0.36,71.6,5.5,22.8,11.31,17,46.26,41,15,36.7,17.2,903,0.53,5.9,30.7
m200029,EHS,hit2rec7,min30,160,4,14,335,88,11.2,73,441,0.4,4.7,6.7,2,0.72,0.54,0.06,0.12,74.9,7.8,17.2,11.26,17,45.75,41,15.1,37.1,17.5,819,0.45,5.4,28.5
m200051,EHS,hit2rec7,min30,165,5.3,16,622,72,11.1,78,928,0.3,4.9,7.2,2.2,10.33,7.74,0.91,1.67,75,8.8,16.2,11.15,16.2,46.08,41,14.5,35.1,17.8,711,0.4,5.7,31.2
m190009,EHS,hit2rec7,hr3,152,5,11,581,158,10.4,47,222,0.3,4.2,5.6,1.4,8.66,4.23,0.67,3.76,48.8,7.7,43.4,10.12,15.5,42.24,42,15.3,36.7,17.5,284,0.17,6.1,35.6
m190167,EHS,hit2rec7,hr3,155,4.3,17,988,178,10.2,93,800,0.4,4.8,6.3,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190178,EHS,hit2rec7,hr3,157,4.8,11,921,177,10,63,940,0.4,4.4,6.1,1.6,2.08,0.59,0.24,1.25,28.6,11.4,60,10.95,16.5,45.03,41,15,36.6,17.2,827,0.47,5.7,29.6
m190179,EHS,hit2rec7,hr3,155,4.9,14,761,146,10.3,64,369,0.3,4.1,6.2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
