Animal,Type,Recovery,SacTime,FABP2,HSP70PL,HSP70LIV,Cort,GCSF,IL5,IL6,IL10,IL13,IP10,KC,MIP1a,MIP1b,MIP2,RANTES
m190019,EXC,hit2rec1,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190029,EXC,hit2rec1,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190072,EXC,hit2rec1,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190085,EXC,hit2rec1,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190104,EXC,hit2rec1,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190117,EXC,hit2rec1,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190212,EXC,hit2rec1,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190224,EXC,hit2rec1,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190147,EXC,hit2rec3,min30,.,.,.,22762.338,.,.,.,.,.,.,.,.,.,.,.
m190159,EXC,hit2rec3,min30,.,.,.,17173.531,.,.,.,.,.,.,.,.,.,.,.
m190172,EXC,hit2rec3,min30,.,.,.,44055.871,.,.,.,.,.,.,.,.,.,.,.
m190183,EXC,hit2rec3,min30,.,.,.,57432.725,.,.,.,.,.,.,.,.,.,.,.
m190207,EXC,hit2rec3,min30,.,.,.,88748.807,.,.,.,.,.,.,.,.,.,.,.
m190208,EXC,hit2rec3,min30,.,.,.,33721.859,.,.,.,.,.,.,.,.,.,.,.
m200033,EXC,hit2rec3,min30,.,.,.,17739.453,.,.,.,.,.,.,.,.,.,.,.
m190148,EXC,hit2rec3,hr3,.,.,.,14162.843,.,.,.,.,.,.,.,.,.,.,.
m190160,EXC,hit2rec3,hr3,.,.,.,13070.984,.,.,.,.,.,.,.,.,.,.,.
m190171,EXC,hit2rec3,hr3,.,.,.,23343.993,.,.,.,.,.,.,.,.,.,.,.
m190194,EXC,hit2rec3,hr3,.,.,.,3322.851,.,.,.,.,.,.,.,.,.,.,.
m190195,EXC,hit2rec3,hr3,.,.,.,12120.272,.,.,.,.,.,.,.,.,.,.,.
m190238,EXC,hit2rec3,hr3,.,.,.,15693.281,.,.,.,.,.,.,.,.,.,.,.
m200034,EXC,hit2rec3,hr3,.,.,.,2280.52,.,.,.,.,.,.,.,.,.,.,.
m190041,EXC,hit2rec3,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190042,EXC,hit2rec3,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190051,EXC,hit2rec3,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190052,EXC,hit2rec3,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190170,EXC,hit2rec3,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190182,EXC,hit2rec3,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190213,EXC,hit2rec3,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190225,EXC,hit2rec3,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190237,EXC,hit2rec3,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200059,EXC,hit2rec3,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200060,EXC,hit2rec3,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200061,EXC,hit2rec3,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200062,EXC,hit2rec3,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200063,EXC,hit2rec3,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200064,EXC,hit2rec3,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190149,EXC,hit2rec7,min30,.,.,.,59092.338,.,.,.,.,.,.,.,.,.,.,.
m190161,EXC,hit2rec7,min30,.,.,.,30598.964,.,.,.,.,.,.,.,.,.,.,.
m190174,EXC,hit2rec7,min30,.,.,.,40013.563,.,.,.,.,.,.,.,.,.,.,.
m190186,EXC,hit2rec7,min30,.,.,.,39881.497,.,.,.,.,.,.,.,.,.,.,.
m190197,EXC,hit2rec7,min30,.,.,.,54635.018,.,.,.,.,.,.,.,.,.,.,.
m190198,EXC,hit2rec7,min30,.,.,.,35653.227,.,.,.,.,.,.,.,.,.,.,.
m200009,EXC,hit2rec7,min30,.,.,.,95840.08,.,.,.,.,.,.,.,.,.,.,.
m190006,EXC,hit2rec7,hr3,.,.,.,30585.917,.,.,.,.,.,.,.,.,.,.,.
m190173,EXC,hit2rec7,hr3,.,.,.,78391.12,.,.,.,.,.,.,.,.,.,.,.
m190184,EXC,hit2rec7,hr3,.,.,.,3599.223,.,.,.,.,.,.,.,.,.,.,.
m190185,EXC,hit2rec7,hr3,.,.,.,1378.282,.,.,.,.,.,.,.,.,.,.,.
m190196,EXC,hit2rec7,hr3,.,.,.,49255.724,.,.,.,.,.,.,.,.,.,.,.
m190210,EXC,hit2rec7,hr3,.,.,.,19312.773,.,.,.,.,.,.,.,.,.,.,.
m190216,EXC,hit2rec7,hr3,.,.,.,26120.497,.,.,.,.,.,.,.,.,.,.,.
m190228,EXC,hit2rec7,hr3,.,.,.,17787.4,.,.,.,.,.,.,.,.,.,.,.
m190005,EXC,hit2rec7,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190045,EXC,hit2rec7,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190055,EXC,hit2rec7,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190150,EXC,hit2rec7,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190162,EXC,hit2rec7,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190209,EXC,hit2rec7,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200021,EXC,hit2rec7,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200010,EXC,hit2rec7,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200011,EXC,hit2rec7,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200012,EXC,hit2rec7,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200022,EXC,hit2rec7,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200023,EXC,hit2rec7,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200024,EXC,hit2rec7,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200032,EXC,hit2rec7,d7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
