"","ID","Type","Recovery","SacTime","Sodium","Potassium","tCO2","CK","Glucose","CA","BUN","AST","TBIL","ALB","TP","GLOB","WBC","AbsLYM","AbsMON","AbsNEU","LYp","MOp","NEp","RBC","HGB","HCT","MCV","MCH","MCHC","RDWc","PLT","PCT","MPV","PDWc","log_CK","log_AST"
"170","m190035","EXC","hit2rec1","min30",144,4.5,16,325,257,9.9,20,103,0.5,4.2,5,0.8,4.85,2.93,0.45,1.47,60.5,9.2,30.3,9.64,14.1,39.9,41,14.6,35.4,16.6,505,0.29,5.7,32.6,578.382518232974,463.472898822964
"171","m190036","EXC","hit2rec1","min30",148,4.4,16,617,258,10.3,23,140,0.5,4.5,5.4,0.9,11.18,7.02,1.03,3.13,62.8,9.2,28,10.14,14.3,42.43,42,14.2,33.8,16.6,100,0.07,6.7,35.6,642.486902390539,494.16424226093
"172","m190039","EXC","hit2rec1","min30",147,5,15,689,273,10,17,161,0.4,4.1,5,0.9,6.93,4.04,0.96,1.93,58.3,13.9,27.8,8.77,13.5,37.46,43,15.3,35.9,16.3,261,0.15,5.8,31.7,653.524127101366,508.140436498446
"173","m190040","EXC","hit2rec1","min30",149,4.8,22,1308,226,10.4,19,245,0.3,4.3,5.1,0.9,12.88,10.09,0.08,2.71,78.4,0.6,21.1,10.01,14.3,42.85,43,14.3,33.4,17.1,332,0.2,6,33,717.625453201714,550.125821054473
"174","m190096","EXC","hit2rec1","min30",150,4.6,18,269,214,9.7,30,103,0.4,4.1,5.1,1,8.46,6.61,0.05,1.8,78.1,0.6,21.3,9.58,13.5,40.66,42,14.1,33.2,16.8,509,0.31,6.2,29.6,559.471137960184,463.472898822964
"175","m190134","EXC","hit2rec1","min30",151,5,18,330,225,10.5,25,143,0.4,4.3,5.4,1,6.79,5.42,0.34,1.03,79.9,5,15.1,10.05,14.6,42.2,42,14.6,34.7,16.9,578,0.32,5.6,29.1,579.909265446053,496.284463025991
"176","m190135","EXC","hit2rec1","min30",152,5,20,762,228,10.1,26,178,0.4,4.5,5.3,0.8,10.26,6.44,0.06,3.76,62.8,0.6,36.6,9.7,14.2,40.19,41,14.6,35.2,17.2,162,0.11,7,37.4,663.594655568665,518.178355029209
"177","m200020","EXC","hit2rec1","min30",149,4.5,20,216,210,9.3,28,77,0.4,3.8,5,1.2,6.21,5.07,0.31,0.83,81.7,5,13.3,9.52,12.9,38.82,41,13.6,33.3,16.9,535,0.31,5.8,31.2,537.527840768417,434.380542185368
"178","m190071","EXC","hit2rec1","hr3",153,5,18,340,191,9.8,26,92,0.4,4.2,5.3,1.1,4.32,3.47,0.18,0.67,80.4,4.1,15.5,9.19,13.7,37.95,41,14.9,36.2,16.3,686,0.41,6,29.1,582.894561761021,452.178857704904
"179","m190084","EXC","hit2rec1","hr3",151,4.8,23,455,255,10.4,30,117,0.3,4.3,5.3,1,2.49,2.22,0.08,0.19,89.3,3,7.7,9.61,13.3,41.1,43,13.8,32.4,16.8,752,0.41,5.4,27.9,612.029741895095,476.217393479776
